Step 152, time 0.9217, Loss 6.5708
Step 153, time 0.9190, Loss 6.2211
Step 154, time 0.9153, Loss 6.1106
Step 155, time 0.9010, Loss 6.3050
Step 156, time 0.9034, Loss 6.3426
Step 157, time 0.9405, Loss 6.6721
Step 158, time 0.9233, Loss 6.8405
Step 159, time 0.9204, Loss 5.8630
Step 160, time 0.9013, Loss 7.2103
Step 161, time 0.9172, Loss 6.4825
Step 162, time 0.9080, Loss 6.3534
Step 163, time 0.9055, Loss 6.6906
Step 164, time 0.9152, Loss 6.7521
Step 165, time 0.9146, Loss 6.7284
Step 166, time 0.9120, Loss 6.4752
Step 167, time 0.9140, Loss 6.0295
Step 168, time 0.9044, Loss 5.8227
Step 169, time 0.9150, Loss 5.7786
Step 170, time 0.9214, Loss 6.1693
Step 171, time 0.8910, Loss 5.6697
Step 172, time 0.9146, Loss 7.2133
Step 173, time 0.9151, Loss 6.2140
Step 174, time 0.9262, Loss 6.0968
Step 175, time 0.9125, Loss 6.0381
Step 176, time 0.9012, Loss 6.8088
Step 177, time 0.9077, Loss 6.3137
Step 178, time 0.9202, Loss 6.0723
Step 179, time 0.9078, Loss 5.7219
Step 180, time 0.9149, Loss 7.1886
Step 181, time 0.9114, Loss 6.7871
Step 182, time 0.8975, Loss 6.8515
Step 183, time 0.9168, Loss 6.0952
Step 184, time 0.9372, Loss 6.3459
Step 185, time 0.9161, Loss 6.1080
Step 186, time 0.9149, Loss 5.6607
Step 187, time 0.9225, Loss 6.4300
Step 188, time 0.8981, Loss 6.2869
Step 189, time 0.9080, Loss 6.3636
Step 190, time 0.9056, Loss 7.1304
Step 191, time 0.9250, Loss 6.0827
Step 192, time 0.9385, Loss 6.6388
Step 193, time 0.9231, Loss 7.1627
Step 194, time 0.9207, Loss 6.7190
Step 195, time 0.9157, Loss 7.0685
Step 196, time 0.9253, Loss 7.1174
Step 197, time 0.8941, Loss 6.3179
Step 198, time 0.9024, Loss 7.0424
Step 199, time 0.8849, Loss 6.4957
Step 200, time 0.9237, Loss 6.0242
Step 201, time 0.9089, Loss 6.6805
Step 202, time 0.8989, Loss 6.7845
Step 203, time 0.9122, Loss 6.5250
Step 204, time 0.8970, Loss 5.6450
Step 205, time 0.8990, Loss 6.4329
Step 206, time 0.9120, Loss 7.0683
Step 207, time 0.9103, Loss 6.1909
Step 208, time 0.8898, Loss 7.0012
Step 209, time 0.9107, Loss 6.5437
Step 210, time 0.8853, Loss 6.2576
Step 211, time 0.8910, Loss 5.6731
Step 212, time 0.8962, Loss 5.8603
Step 213, time 0.9168, Loss 6.1226
Step 214, time 0.8985, Loss 6.6686
Step 215, time 0.9510, Loss 6.5647
Step 216, time 0.9133, Loss 5.7852
Step 217, time 0.9138, Loss 6.3379
Step 218, time 0.9086, Loss 6.3287
Step 219, time 0.8930, Loss 6.0200
Step 220, time 0.8939, Loss 5.7878
Step 221, time 0.8979, Loss 5.9831
Step 222, time 0.9084, Loss 5.8561
Step 223, time 0.9070, Loss 5.7897
Step 224, time 0.9148, Loss 6.0303
Step 225, time 0.9092, Loss 5.4792
Step 226, time 0.9018, Loss 5.4737
Step 227, time 0.9325, Loss 6.0839
Step 228, time 0.8999, Loss 5.9870
Step 229, time 0.8986, Loss 5.7650
Step 230, time 0.8964, Loss 5.9224
Step 231, time 0.9076, Loss 6.0151
Step 232, time 0.9009, Loss 6.7491
Step 233, time 0.9002, Loss 5.7053
Step 234, time 0.9085, Loss 5.8811
