Step 0, time 129.6165, Loss 6.4898
Step 1, time 0.6020, Loss 7.1654
Step 2, time 0.5845, Loss 7.2242
Step 3, time 0.5871, Loss 6.3402
Step 4, time 0.5970, Loss 6.9343
Step 5, time 0.5860, Loss 7.7456
Step 6, time 0.6146, Loss 6.6020
Step 7, time 0.5881, Loss 6.5217
Step 8, time 0.5918, Loss 6.4145
Step 9, time 0.5994, Loss 6.2440
Step 10, time 0.5806, Loss 6.5756
Step 11, time 0.6051, Loss 6.4824
Step 12, time 0.5886, Loss 6.2949
Step 13, time 0.5973, Loss 6.2156
Step 14, time 0.5853, Loss 6.0529
Step 15, time 0.6007, Loss 6.2683
Step 16, time 0.5984, Loss 6.4626
Step 17, time 0.6169, Loss 6.9247
Step 18, time 0.6349, Loss 6.2003
Step 19, time 0.6221, Loss 6.4237
Step 20, time 0.5999, Loss 6.4451
Step 21, time 0.5978, Loss 6.1426
Step 22, time 0.5871, Loss 6.5801
Step 23, time 0.6038, Loss 6.1825
Step 24, time 0.5917, Loss 6.8780
Step 25, time 0.5868, Loss 6.6406
Step 26, time 0.5885, Loss 6.7581
Step 27, time 0.5973, Loss 6.2257
Step 28, time 0.5979, Loss 6.7958
Step 29, time 0.5852, Loss 6.2915
Step 30, time 0.5960, Loss 6.3011
Step 31, time 0.5968, Loss 6.3291
Step 32, time 0.5922, Loss 6.5062
Step 33, time 0.6022, Loss 6.3545
Step 34, time 0.5958, Loss 6.2388
Step 35, time 0.6046, Loss 6.6201
Step 36, time 0.6241, Loss 6.8360
Step 37, time 0.5982, Loss 6.2676
Step 38, time 0.5996, Loss 6.7533
Step 39, time 0.5988, Loss 6.2609
Step 40, time 0.5993, Loss 6.1581
Step 41, time 0.6022, Loss 5.9611
Step 42, time 0.5895, Loss 6.5699
Step 43, time 0.6126, Loss 6.2418
Step 44, time 0.6067, Loss 6.2919
Step 45, time 0.6024, Loss 6.1230
Step 46, time 0.6112, Loss 6.9763
Step 47, time 0.6043, Loss 6.4813
Step 48, time 0.6081, Loss 7.3144
Step 49, time 0.6011, Loss 6.2376
Step 50, time 0.5985, Loss 6.3855
Step 51, time 0.6025, Loss 7.1630
Step 52, time 0.6055, Loss 7.0937
Step 53, time 0.6001, Loss 6.0910
Step 54, time 0.5987, Loss 6.7958
Step 55, time 0.6037, Loss 7.0839
Step 56, time 0.5943, Loss 6.2025
