Step 157, time 0.5676, Loss 5.8640
Step 158, time 0.5740, Loss 6.7531
Step 159, time 0.5745, Loss 6.8317
Step 160, time 0.5702, Loss 5.8398
Step 161, time 0.5712, Loss 6.5576
Step 162, time 0.5766, Loss 6.8254
Step 163, time 0.5753, Loss 7.0089
Step 164, time 0.5718, Loss 6.8682
Step 165, time 0.5651, Loss 6.2810
Step 166, time 0.5735, Loss 6.6250
Step 167, time 0.5876, Loss 5.9973
Step 168, time 0.5671, Loss 6.3640
Step 169, time 0.5708, Loss 6.3654
Step 170, time 0.5698, Loss 6.3956
Step 171, time 0.5770, Loss 5.9245
Step 172, time 0.5830, Loss 6.3940
Step 173, time 0.5757, Loss 5.8464
Step 174, time 0.5775, Loss 6.7714
Step 175, time 0.5834, Loss 6.2263
Step 176, time 0.5831, Loss 6.8838
Step 177, time 0.5779, Loss 6.6335
Step 178, time 0.5790, Loss 6.6489
Step 179, time 0.5802, Loss 5.9639
Step 180, time 0.5834, Loss 6.2402
Step 181, time 0.5750, Loss 5.7972
Step 182, time 0.5618, Loss 6.4470
Step 183, time 0.5677, Loss 6.0805
Step 184, time 0.5772, Loss 6.3640
Step 185, time 0.5737, Loss 6.6453
Step 186, time 0.5788, Loss 6.0209
Step 187, time 0.5797, Loss 6.5218
Step 188, time 0.5815, Loss 5.9084
Step 189, time 0.5765, Loss 6.9051
Step 190, time 0.5658, Loss 6.1551
Step 191, time 0.5724, Loss 6.8374
Step 192, time 0.5802, Loss 6.4708
Step 193, time 0.5679, Loss 6.0820
Step 194, time 0.5757, Loss 6.1355
Step 195, time 0.5710, Loss 6.3735
Step 196, time 0.5712, Loss 5.8917
Step 197, time 0.5644, Loss 5.5225
Step 198, time 0.5827, Loss 6.3564
Step 199, time 0.5757, Loss 6.7737
Step 200, time 0.5675, Loss 6.5248
Step 201, time 0.5851, Loss 6.4695
Step 202, time 0.5702, Loss 6.2038
Step 203, time 0.5884, Loss 6.6751
Step 204, time 0.5747, Loss 5.7315
Step 205, time 0.5596, Loss 5.8149
Step 206, time 0.5690, Loss 6.6480
Step 207, time 0.5709, Loss 6.1291
Step 208, time 0.5808, Loss 5.9646
Step 209, time 0.5625, Loss 6.7697
Step 210, time 0.5762, Loss 6.8232
Step 211, time 0.5668, Loss 6.5657
Step 212, time 0.5764, Loss 6.2203
Step 213, time 0.5851, Loss 7.1334
Step 214, time 0.5672, Loss 6.4693
Step 215, time 0.5811, Loss 5.4589
Step 216, time 0.5696, Loss 6.1850
Step 217, time 0.5807, Loss 6.1253
Step 218, time 0.5621, Loss 6.0586
Step 219, time 0.5719, Loss 6.5205
Step 220, time 0.5670, Loss 6.2611
Step 221, time 0.5667, Loss 6.4900
Step 222, time 0.5797, Loss 6.7946
Step 223, time 0.5725, Loss 6.2306
Step 224, time 0.5822, Loss 6.8469
Step 225, time 0.5764, Loss 6.7074
Step 226, time 0.5819, Loss 6.2137
Step 227, time 0.5748, Loss 6.2197
Step 228, time 0.5846, Loss 6.7524
Step 229, time 0.5847, Loss 6.6010
Step 230, time 0.5688, Loss 5.7611
Step 231, time 0.5760, Loss 6.2983
Step 232, time 0.5743, Loss 6.0516
Step 233, time 0.5757, Loss 6.1219
Step 234, time 0.5794, Loss 5.7800
Step 235, time 0.5791, Loss 6.8178
Step 236, time 0.5819, Loss 6.1979
Step 237, time 0.5760, Loss 6.0418
Step 238, time 0.5837, Loss 6.2686
Step 239, time 0.5751, Loss 7.3881
Step 240, time 0.5760, Loss 6.3332
Step 241, time 0.5719, Loss 6.0122
Step 242, time 0.5758, Loss 6.4229
Step 243, time 0.5748, Loss 6.3628
Step 244, time 0.5639, Loss 6.8157
Step 245, time 0.5743, Loss 6.6035
Step 246, time 0.5667, Loss 6.1810
Step 247, time 0.5747, Loss 6.9005
Step 248, time 0.5767, Loss 6.7902
Step 249, time 0.5705, Loss 6.2022
Step 250, time 0.5719, Loss 7.2736
Step 251, time 0.5694, Loss 6.3380
Step 252, time 0.5862, Loss 6.1736
Step 253, time 0.5734, Loss 5.8738
Step 254, time 0.5874, Loss 6.1539
Step 255, time 0.5681, Loss 5.9076
Step 256, time 0.5658, Loss 5.8801
Step 257, time 0.5722, Loss 5.1804
Step 258, time 0.5794, Loss 6.1888
Step 259, time 0.5704, Loss 5.6200
Step 260, time 0.5714, Loss 6.4499
Step 261, time 0.5717, Loss 6.1841
Step 262, time 0.5773, Loss 6.3022
Step 263, time 0.5704, Loss 6.5208
Step 264, time 0.5684, Loss 6.6994
Step 265, time 0.5723, Loss 6.4428
Step 266, time 0.5755, Loss 6.3256
Step 267, time 0.5784, Loss 6.1438
Step 268, time 0.5750, Loss 6.3412
Step 269, time 0.5648, Loss 7.5520
Step 270, time 0.5810, Loss 6.4192
Step 271, time 0.5752, Loss 6.6155
Step 272, time 0.5864, Loss 6.6739
Step 273, time 0.5664, Loss 6.8836
Step 274, time 0.5731, Loss 5.8393
Step 275, time 0.5693, Loss 6.9112
Step 276, time 0.5718, Loss 6.3506
Step 277, time 0.5739, Loss 6.4946
Step 278, time 0.5698, Loss 6.3753
Step 279, time 0.5769, Loss 6.2651
Step 280, time 0.5676, Loss 5.4059
Step 281, time 0.5787, Loss 6.1918
Step 282, time 0.5706, Loss 5.9021
Step 283, time 0.5693, Loss 5.9737
Step 284, time 0.5714, Loss 6.3875
Step 285, time 0.5708, Loss 6.7303
